prod_url,img_link,prod_name,prod_price
https://www.glassesshop.com/eyeglasses/fp2158,"https://res.glassesshop.com/products/202011/5fa8e947af13a.jpg?im=Resize,width=600,height=300",Indianapolis,$9.95
https://www.glassesshop.com/eyeglasses/fz1268,"https://res.glassesshop.com/products/201810/5bbc509cc7c07.jpg?im=Resize,width=600,height=300",Genevieve,$34.95
https://www.glassesshop.com/eyeglasses/fp1363,"https://res.glassesshop.com/products/202102/6023752dda9dd.jpg?im=Resize,width=600,height=300",Evansville,$19.95
https://www.glassesshop.com/eyeglasses/fp2111,"https://res.glassesshop.com/products/202007/5f0d02e66cf0b.jpg?im=Resize,width=600,height=300",Althea,$19.95
https://www.glassesshop.com/eyeglasses/fz1461,"https://res.glassesshop.com/products/202005/5eb913470af6b.jpg?im=Resize,width=600,height=300",Prairie,$29.95
https://www.glassesshop.com/eyeglasses/fz1297,"https://res.glassesshop.com/products/201901/5c3403881a8fe.jpg?im=Resize,width=600,height=300",Hume,$29.95
https://www.glassesshop.com/eyeglasses/fp2580,"https://res.glassesshop.com/products/202209/63291eab4c658.jpg?im=Resize,width=600,height=300",Roderick,$12.95
https://www.glassesshop.com/eyeglasses/fp1923,"https://res.glassesshop.com/products/202101/5fffb4b75dafe.jpg?im=Resize,width=600,height=300",Bray,$12.95
https://www.glassesshop.com/eyeglasses/fp1841,"https://res.glassesshop.com/products/201904/5cb69b512d7b0.jpg?im=Resize,width=600,height=300",Butler,$19.95
https://www.glassesshop.com/eyeglasses/fp1727,"https://res.glassesshop.com/products/201807/5b3dcff30c19c.jpg?im=Resize,width=600,height=300",Dove,$34.95
https://www.glassesshop.com/eyeglasses/fp2026,"https://res.glassesshop.com/products/201911/5dbfecc57f5b9.jpg?im=Resize,width=600,height=300",Plains,$26.95
https://www.glassesshop.com/eyeglasses/fp2036,"https://res.glassesshop.com/products/202002/5e377f634cb1c.jpg?im=Resize,width=600,height=300",Fresno,$9.95
https://www.glassesshop.com/eyeglasses/fp2646,"https://res.glassesshop.com/products/202209/63291f4cee19b.jpg?im=Resize,width=600,height=300",Rebecca,$26.95
https://www.glassesshop.com/eyeglasses/fp2679,"https://res.glassesshop.com/products/202301/63d76dbb2186f.jpg?im=Resize,width=600,height=300",Equality,$19.95
https://www.glassesshop.com/eyeglasses/fp2151,"https://res.glassesshop.com/products/202011/5f9faec3362e6.jpg?im=Resize,width=600,height=300",Dominic,$12.95
https://www.glassesshop.com/eyeglasses/fp1742,"https://res.glassesshop.com/products/201807/5b4c4e365c7ab.jpg?im=Resize,width=600,height=300",Otis,$5.95
https://www.glassesshop.com/eyeglasses/fz0981,"https://res.glassesshop.com/products/201704/58f85d7927324.jpg?im=Resize,width=600,height=300",Miami,$29.95
https://www.glassesshop.com/eyeglasses/fz1313,"https://res.glassesshop.com/products/201906/5cf8ca4e9765e.jpg?im=Resize,width=600,height=300",Whittier,$29.95
https://www.glassesshop.com/eyeglasses/fp1694,"https://res.glassesshop.com/products/202106/60bdd99fb7511.jpg?im=Resize,width=600,height=300",Lexingto,$19.95
https://www.glassesshop.com/eyeglasses/fm1394,"https://res.glassesshop.com/products/202011/5fbf2aaec33c1.jpg?im=Resize,width=600,height=300",Attis,$26.95
https://www.glassesshop.com/eyeglasses/sm0860,"https://res.glassesshop.com/products/201810/5bbc51096d6bb.jpg?im=Resize,width=600,height=300",Willie,$19.95
https://www.glassesshop.com/eyeglasses/fm1819,"https://res.glassesshop.com/products/202209/63291e5d87db4.jpg?im=Resize,width=600,height=300",Smollett,$19.95
https://www.glassesshop.com/eyeglasses/fz1209,"https://res.glassesshop.com/products/202008/5f4775478f20c.jpg?im=Resize,width=600,height=300",Pete,$29.95
https://www.glassesshop.com/eyeglasses/fm1385,"https://res.glassesshop.com/products/201906/5d031896295ff.jpg?im=Resize,width=600,height=300",Riverside,$19.95
https://www.glassesshop.com/eyeglasses/fp2390,"https://res.glassesshop.com/products/202109/614a9a5e84c85.jpg?im=Resize,width=600,height=300",Fitchburg,$9.95
https://www.glassesshop.com/eyeglasses/ft0304,"https://res.glassesshop.com/products/201906/5d0318965cdb1.jpg?im=Resize,width=600,height=300",Annabel,$39.95
https://www.glassesshop.com/eyeglasses/fp1719,"https://res.glassesshop.com/products/201902/5c7757050ca47.jpg?im=Resize,width=600,height=300",Jean,$26.95
https://www.glassesshop.com/eyeglasses/fp2691,"https://res.glassesshop.com/products/202301/63d76dfe833dd.jpg?im=Resize,width=600,height=300",Spencer,$26.95
https://www.glassesshop.com/eyeglasses/fz1087,"https://res.glassesshop.com/products/201710/59e01c443bff6.jpg?im=Resize,width=600,height=300",Mandy,$29.95
https://www.glassesshop.com/eyeglasses/fz1358,"https://res.glassesshop.com/products/201907/5d1dad7e8b665.jpg?im=Resize,width=600,height=300",Milne,$29.95
https://www.glassesshop.com/eyeglasses/fp2298,"https://res.glassesshop.com/products/202105/60a3628199108.jpg?im=Resize,width=600,height=300",Denise,$26.95
https://www.glassesshop.com/eyeglasses/sup1252,"https://res.glassesshop.com/products/202109/613efc409deb9.jpg?im=Resize,width=600,height=300",Geraldine,$29.95
https://www.glassesshop.com/eyeglasses/fp1984,"https://res.glassesshop.com/products/201910/5d9ff9b83e263.jpg?im=Resize,width=600,height=300",Yonkers,$12.95
https://www.glassesshop.com/eyeglasses/fz1159,"https://res.glassesshop.com/products/201805/5b0fae2e711fc.jpg?im=Resize,width=600,height=300",Enoch,$29.95
https://www.glassesshop.com/eyeglasses/fp2195,"https://res.glassesshop.com/products/202011/5fc45793d9906.jpg?im=Resize,width=600,height=300",Owensboro,$12.95
https://www.glassesshop.com/eyeglasses/fm1471,"https://res.glassesshop.com/products/202008/5f30d2a299820.jpg?im=Resize,width=600,height=300",Celeste,$19.95
https://www.glassesshop.com/eyeglasses/fp1661,"https://res.glassesshop.com/products/201805/5af16009d7b28.jpg?im=Resize,width=600,height=300",Derrick,$26.95
https://www.glassesshop.com/eyeglasses/fm1578,"https://res.glassesshop.com/products/202102/602a0fe8ed039.jpg?im=Resize,width=600,height=300",Chad,$19.95
https://www.glassesshop.com/eyeglasses/fp1730,"https://res.glassesshop.com/products/201807/5b3dd02194eeb.jpg?im=Resize,width=600,height=300",Grover,$34.95
https://www.glassesshop.com/eyeglasses/fp1617,"https://res.glassesshop.com/products/201805/5afe7d0d36829.jpg?im=Resize,width=600,height=300",Baldwin,$19.95
https://www.glassesshop.com/eyeglasses/fp1804,"https://res.glassesshop.com/products/202105/60b58487603f5.jpg?im=Resize,width=600,height=300",Watertown,$19.95
https://www.glassesshop.com/eyeglasses/sup1203,"https://res.glassesshop.com/products/202106/60d17b88cdbd8.jpg?im=Resize,width=600,height=300",TerreHaute,$19.95
https://www.glassesshop.com/eyeglasses/fp1768,"https://res.glassesshop.com/products/201808/5b7e0ee2a1137.jpg?im=Resize,width=600,height=300",Belle,$19.95
https://www.glassesshop.com/eyeglasses/fp2490,"https://res.glassesshop.com/products/202201/61dbe5d528cb5.jpg?im=Resize,width=600,height=300",Niki,$26.95
https://www.glassesshop.com/eyeglasses/sm0751,"https://res.glassesshop.com/products/201707/5965e6954a9f3.jpg?im=Resize,width=600,height=300",Matthew,$39.95
https://www.glassesshop.com/eyeglasses/fp1110,"https://res.glassesshop.com/products/201708/5983fe65ed003.jpg?im=Resize,width=600,height=300",Hyannis,$29.95
https://www.glassesshop.com/eyeglasses/sup0821,"https://res.glassesshop.com/products/202004/5e93cdb77d4ef.jpg?im=Resize,width=600,height=300",Walnut,$29.95
https://www.glassesshop.com/eyeglasses/fm1838,"https://res.glassesshop.com/products/202301/63d76e38e744f.jpg?im=Resize,width=600,height=300",Mirabelle,$26.95
https://www.glassesshop.com/eyeglasses/fp2086,"https://res.glassesshop.com/products/202005/5eb8b58e68ce6.jpg?im=Resize,width=600,height=300",Annabelle,$26.95
https://www.glassesshop.com/eyeglasses/fp2520,"https://res.glassesshop.com/products/202201/61dbe605ac50b.jpg?im=Resize,width=600,height=300",Pasadena,$26.95
https://www.glassesshop.com/eyeglasses/fp1920,"https://res.glassesshop.com/products/201908/5d4d18eee5210.jpg?im=Resize,width=600,height=300",Bloor,$12.95
https://www.glassesshop.com/eyeglasses/fz1750,"https://res.glassesshop.com/products/202108/610a547c82bdc.jpg?im=Resize,width=600,height=300",Union,$35.95
https://www.glassesshop.com/eyeglasses/rm0288,"https://res.glassesshop.com/products/202009/5f5edd683b77a.jpg?im=Resize,width=600,height=300",Egbert,$54.95
https://www.glassesshop.com/eyeglasses/fp2183,"https://res.glassesshop.com/products/202011/5fc45741a56c5.jpg?im=Resize,width=600,height=300",Jacksonville,$19.95
